Nombre,Telefono_Limpio,Fecha_Contacto,Estado
Muela del Diablo,59176220409,2026-03-01 00:00:00,
Factory Grill & Bar Cochabamba,59178312126,2026-03-01 00:00:00,
Da Vinci Restaurante,59172243301,2026-03-01 01:08:56,
Freddy's Pizza La Bella Italia,59163860761,2026-03-01 01:10:29,
Terraza Arturo - Café & Vinos -,59177452267,2026-03-01 01:11:42,
World Cake Tu Masa Miga,59175916055,2026-03-01 01:14:55,
Le Petit Brunch & Bakery,59172202024,2026-03-01 01:16:01,
TALLER ELÉCTRICO CHISPALO ORIGINAL,59175997535,2026-03-01 17:25:18,Enviado
ESEV empresa De Servicios Electricos Villarroel,59177428761,2026-03-01 17:27:05,Enviado
"Taller eléctrico ""Raúl""",59167828322,2026-03-01 17:28:40,Enviado
Oficina Nohelia Torrico Abogada,59172767071,2026-03-01 17:30:19,Enviado
Consorcio Jurídico Rivera & Asociados,59179755477,2026-03-01 17:31:34,Enviado
APOYO Abogados & Consultores,59170786222,2026-03-01 17:56:43,Fallido: Número no tiene WhatsApp
Trends Beauty Center,59172213108,2026-03-01 17:48:53,Enviado
Thyka Lau Color Hair,59160360914,2026-03-01 17:51:17,Enviado
Peluquería Miriam,59179982201,2026-03-01 17:53:05,Enviado
Mueblería en melamina Hogar,59174146943,2026-03-01 17:55:19,Enviado
El Patio Pizzería,59144766276,2026-03-01 18:20:55,Fallido: No se pudo abrir el chat (posible número sin WhatsApp)
Paprika,59144662400,2026-03-01 18:22:05,Fallido: Número no tiene WhatsApp
Pizzería DíCarlos,59171467662,2026-03-01 18:23:33,Enviado
PLATO DE BARRO,59175913523,2026-03-01 18:24:37,Fallido: Número no tiene WhatsApp
Restaurante La Sazón de Mamá Julia,59165304104,2026-03-01 18:26:50,Enviado
Tacos Guadalajara,59170367998,2026-03-01 18:28:23,Enviado
Artesanal Panadería,59171453976,2026-03-01 18:39:44,Enviado
Victoria Pastelería y Arte,59179797558,2026-03-01 18:41:10,Enviado
Repostería Tiquipayeño Suc. Circunvalación,59171788782,2026-03-01 18:43:22,Enviado
Panaderia,59176963485,2026-03-01 18:45:42,Fallido: No se pudo abrir el chat (posible número sin WhatsApp)
ESTUDIO CONTABLE ASOFEM,59175939507,2026-03-01 18:47:12,Enviado
"Telma Gomez, Consultor Contable",59161600970,2026-03-01 18:48:48,Fallido: Número no tiene WhatsApp
Amarthe Nails,59162671039,2026-03-03 11:13:33,Enviado
TerraBella SPA,59175939640,2026-03-03 11:14:50,Enviado
Cabero Nails Depil,59164889910,2026-03-03 11:16:36,Enviado
Velvet Beauty Studio,59176404598,2026-03-03 11:18:50,Enviado
E - Lashes Extensiones De Pestañas,59173645088,2026-03-03 11:20:58,Enviado
PARADOX,59164927066,2026-03-03 11:30:51,Enviado
CIMATEL IMPORTACIONES S.R.L,59161679790,2026-03-03 11:32:09,Enviado
Multi Energia SRL,59172240057,2026-03-03 11:34:12,Enviado
Noveltek LTDA.,59175925217,2026-03-03 11:35:23,Enviado
Invetsa Oficina Cochabamba,59144242176,2026-03-03 11:36:44,Fallido: Número no tiene WhatsApp
Panini's Repostería - Salón de té,59162648765,2026-03-03 11:38:28,Enviado
Trancapechos Y Silpanchos Don Carlos,59177955549,2026-03-03 11:46:38,Enviado
Confitería San José 2,59174349639,2026-03-03 11:47:52,Enviado
Milanezas de la Uyuni Snack Santa Rita,59144485585,2026-03-03 11:49:20,Fallido: Número no tiene WhatsApp
Academia de Taekwondo Athletic,59160760369,2026-03-03 11:50:55,Enviado
ACADEMIA BUSHIDO KAI,59175998918,2026-03-03 11:52:00,Enviado
Dance Studio Jazz - Walter Albarracín -,59144285537,2026-03-03 11:52:57,Fallido: Número no tiene WhatsApp
CENTRO DE ARTES MARCIALES COCHABAMBA,59170783981,2026-03-03 11:53:57,Enviado
Academia de artes marciales Yongshi,59170382587,2026-03-03 12:01:31,Enviado
Casa de Funerales Garnica,59178300069,2026-03-03 12:03:03,Enviado
Casa De Funerales Rosedal,5914020008,2026-03-03 12:04:59,Fallido: Número no tiene WhatsApp
LAS MISIONES Casa de Funerales,59161610652,2026-03-03 12:06:02,Enviado
Servicios Bolivar Salones Velatorio Bethel,59160349992,2026-03-03 12:08:22,Enviado
Funeraria Rivas,59175934111,2026-03-03 12:10:26,Enviado
